ID,人数,順位,ゲームの時間,送ったライン合計,APM,日付,(JST),リプレイ
4RBY02,6,3/6,1:01.160,28,38.26,2021-07-07,00:06:17,
1MGZ0S,6,5/6,1:01.850,28,37.83,2021-07-07,00:04:04,
MN3IUP,5,4/5,1:24.290,31,45.56,2021-07-07,00:02:16,
EP804Q,6,3/6,1:49.220,43,34.06,2021-07-06,23:59:33,
6NCAAF,6,3/6,2:02.290,46,29.93,2021-07-06,23:56:57,
EXEBF7,5,3/5,1:01.840,26,29.11,2021-07-06,23:54:22,
Z1WNRH,4,4/4,18.62,3,16.11,2021-07-06,23:51:56,
EZRUEV,6,3/6,2:03.250,53,33.59,2021-07-06,23:49:36,
UUEP0W,4,3/4,2:07.420,80,50.38,2021-07-06,23:47:21,
I1H3T5,6,1/6,1:35.460,69,56.57,2021-07-06,10:42:42,
UQ4KZM,6,2/6,2:05.670,67,38.67,2021-07-06,10:41:03,
TSK2A5,6,5/6,16.98,9,45.94,2021-07-06,10:38:52,
C5QGIM,5,4/5,17.89,2,13.42,2021-07-06,10:37:00,
IJ7FPD,4,2/4,2:11.210,89,54.42,2021-07-06,10:36:17,
9PH8U6,2,2/2,57.48,14,28.18,2021-07-06,10:33:57,
IA1BGL,3,2/3,48.06,19,27.47,2021-07-06,10:32:05,
KVSUG3,6,1/6,2:15.230,75,41.71,2021-07-05,16:51:01,
1MT5EZ,4,2/4,1:54.240,70,46.22,2021-07-05,16:48:40,
DLY08M,4,3/4,20.5,7,20.49,2021-07-05,16:46:43,
S3OBS1,4,2/4,1:49.550,35,26.84,2021-07-05,16:46:00,
044LK9,3,3/3,16,0,0.0,2021-07-05,16:44:07,
B0511H,3,3/3,12.53,0,0.0,2021-07-05,16:43:37,
NSJABA,3,2/3,44.79,7,32.15,2021-07-05,16:43:17,
R3UQTR,3,1/3,31.46,45,85.82,2021-07-05,16:42:28,
1O0XN5,3,1/3,27.56,41,100.14,2021-07-05,16:41:53,
LK3CKJ,4,4/4,59.63,18,32.2,2021-07-05,16:41:22,
6ATBFK,40,1/40,2:58.790,120,44.3,2021-07-03,22:42:04,
MBYIZX,42,10/42,2:21.900,91,43.97,2021-07-03,22:38:56,
AAPNOB,37,4/37,2:42,113,50.37,2021-07-03,22:35:51,
J4LJDY,41,4/41,2:46.660,92,38.88,2021-07-03,22:32:47,
FKBLDN,5,3/5,1:43.780,60,42.2,2021-07-03,18:57:38,
8N24XK,4,2/4,1:53.940,56,48.45,2021-07-03,17:58:09,
LFK30J,5,1/5,2:18.540,72,34.21,2021-07-03,17:55:59,
KBA761,5,2/5,2:13.470,75,39.11,2021-07-02,02:50:30,
UZ3YIK,5,2/5,1:42.820,51,42.6,2021-07-02,02:48:09,
8UAJ5I,4,3/4,2:20.440,75,44.43,2021-07-02,02:34:44,
J4K063,4,1/4,1:27.600,63,49.32,2021-07-02,02:32:19,
JRE0PH,5,1/5,2:21.300,94,45.86,2021-07-02,02:30:48,
5ERJRQ,3,1/3,2:10.810,75,38.07,2021-07-02,02:28:20,
N5C1SL,3,1/3,56.97,60,68.46,2021-07-02,02:25:55,
HI66AM,4,1/4,31.74,40,77.5,2021-07-02,02:24:50,
ONWR74,4,1/4,1:27.860,41,28.68,2021-07-02,02:24:12,
KZSV55,3,1/3,2:16.560,93,51.85,2021-07-02,02:22:38,
7TGLUR,6,3/6,2:10,79,47.08,2021-07-02,02:20:19,
DNM4AI,3,2/3,2:03.920,43,26.15,2021-07-02,02:18:00,
BCD2V1,4,2/4,2:19.440,61,31.84,2021-07-02,02:15:51,
Z2CGWI,2,2/2,1:35.290,53,39.04,2021-07-02,02:13:26,
35BFX3,4,3/4,17.59,0,3.41,2021-06-30,16:50:06,
RO6AYY,3,2/3,37.21,4,9.67,2021-06-30,16:49:29,
D9OB45,5,3/5,1:32.050,35,28.03,2021-06-30,16:48:48,
8BQ4L9,4,3/4,5.57,0,0.0,2021-06-30,16:46:53,
TOC88J,4,3/4,29.58,5,22.31,2021-06-30,16:45:25,
37DFFB,5,3/5,30.67,7,27.39,2021-06-30,16:44:47,
G3298I,5,2/5,1:56.590,52,41.68,2021-06-30,16:43:24,
DK64AY,5,3/5,2:07.020,45,29.76,2021-06-30,16:41:20,
A4M6ZV,6,2/6,2:01.130,65,37.15,2021-06-30,16:39:05,
EGZRY4,3,3/3,24.87,8,19.3,2021-06-30,13:45:25,
UVDVZG,4,3/4,1:55.340,62,46.82,2021-06-30,13:42:51,
FRY72W,4,3/4,43.36,9,13.84,2021-06-30,13:39:48,
50G0CX,5,2/5,2:35.680,86,43.55,2021-06-29,01:11:27,
LZ14EU,6,5/6,15.27,1,19.65,2021-06-29,01:08:47,
YJ20LN,4,3/4,1:23.830,41,47.24,2021-06-29,01:08:09,
LHNXBO,4,2/4,1:15.750,25,35.64,2021-06-29,01:05:55,
AMNH3I,4,3/4,51.04,24,41.14,2021-06-29,01:04:27,
FVS0WJ,4,1/4,30.05,34,89.85,2021-06-29,01:03:15,
LO2N1E,4,1/4,1:16.990,36,45.98,2021-06-29,01:02:39,
40U1C0,5,4/5,1:02.940,13,17.16,2021-06-29,01:01:18,
Q0DWUQ,3,3/3,2:19.840,71,36.9,2021-06-29,00:59:01,
15QM2H,5,1/5,1:04.470,45,50.26,2021-06-29,00:56:17,
JTB86C,5,3/5,1:19.450,24,31.72,2021-06-29,00:14:27,
LNA0I3,6,3/6,29.76,12,32.26,2021-06-29,00:12:49,
H7695Q,6,1/6,2:23.210,90,44.83,2021-06-28,01:15:37,
TP23AN,5,1/5,1:27.400,57,48.05,2021-06-28,01:13:10,
T95Q6B,5,2/5,2:21.900,55,29.6,2021-06-27,23:40:33,
R0YN0S,3,2/3,1:04.710,28,32.45,2021-06-27,23:38:04,
